,Neighborhood.Name,2013_population,2014_population,2015_population,2016_population,2017_population,10-14_population,15-19_population,20-24_population,25-29_population,30-34_population,35-39_population,40-44_population,45-49_population,5-9_population,50-54_population,55-59_population,60-64_population,65-69_population,70-74_population,75-79_population,80-84_population,85-89_population,90-94_population,>=95_population,female_population,male_population,total_transports,Day_bus_count,Night_bus_count,%night_buses,avg_dist_metro_stations,avg_dist_day_bus_stops,avg_dist_night_bus_stops,avg_dist_other_transport,avg_ppl_unemployed_with_benefits,avg_ppl_unemployed_seeking_job,male_unemployed,female_unemployed,avg_male_unemployed,avg_female_unemployed,2017_unemployed,%unemployed_population,total_accidents,bad_air_quality_count,ppl_to_from_Sant_Martí,ppl_to_from_Sants_Montjuïc,ppl_to_from_Eixample,ppl_to_from_Abroad,ppl_to_from_Catalonia,Latitude,Longitude,km_to_center_area,km_to_banking_area,km_to_residential_area,1star_hotels,2star_hotels,3star_hotels,Clusters,Clusters Category
47,l'Antiga Esquerra de l'Eixample,41773,41717,41664,41854,42284,145.18,144.56,203.1,330.12,379.62,366.82,319.74,287.14,153.46,286.86,262.74,230.24,215.04,180.88,163.5,158.9,119.54,59.58,105.0,234.84375,201.18125,50.0,52,36,40.909090909090914,0.6442804396729535,0.7097973359520527,0.7034888044950091,0.07126273616723934,962.85,212.44444444444446,717.8125,645.0833333333334,717.8125,645.0833333333334,22710,5.3708258442909855,138,0,0,0,0,0,0,41.389086114583336,2.1549525625,1.2892979861208336,3.371846369033547,2.6097226242101006,2,6,0,0,Cluster 1
48,la Barceloneta,15503,15104,15032,15021,14996,42.42,44.3,85.62,150.08,175.54,155.68,126.5,104.44,44.96,94.22,79.8,65.88,63.44,57.2,59.48,58.16,37.36,15.96,20.6,79.04791666666667,78.56875,24.0,34,14,29.166666666666668,0.0,0.8044940820427839,0.48694692213251684,0.0,602.2333333333333,169.97222222222223,416.375,463.8958333333333,416.375,463.8958333333333,15966,10.646839157108563,97,0,0,0,0,0,0,41.380226199999996,2.19065062,1.8751693134560163,6.360967984602874,3.76714522660259,1,1,3,1,Cluster 2
49,la bordeta,18577,18398,18378,18512,18530,69.6,70.36,88.1,122.5,142.6,144.1,137.14,134.76,70.2,137.12,137.26,118.92,107.66,81.66,76.98,70.96,42.66,18.44,20.8,101.60625,90.88333333333334,5.0,19,3,13.636363636363635,0.0,0.44088823072657657,0.4349432810939702,0.0,528.6666666666666,135.91666666666666,406.9583333333333,355.8125,406.9583333333333,355.8125,13279,7.166216945493794,24,0,0,0,0,0,0,41.368115625,2.1365280833333333,3.50639249134454,2.6426864567068638,1.1396391998058475,0,0,0,1,Cluster 2
50,la clota,438,521,542,583,610,1.74,2.3,2.16,3.68,6.2,5.84,4.64,4.48,2.54,3.34,2.16,1.64,1.76,1.76,2.7,1.54,1.3,0.68,0.1,2.752083333333333,2.8604166666666666,198.0,4,1,20.0,0.0,0.38353141283597275,0.0,0.0,10.483333333333333,2.1805555555555554,7.489583333333333,7.25,7.489583333333333,7.25,254,4.163934426229508,1167,0,0,0,0,0,0,41.428981199999996,2.154081,4.8512630531626435,5.836454551200521,7.01413627977788,0,0,0,3,Cluster 4
51,la Dreta de l'Eixample,43384,43340,43556,43644,44052,163.02,165.34,209.24,315.08,361.76,378.76,343.5,302.06,178.2,295.06,276.1,251.42,225.32,185.4,145.52,158.94,126.16,69.1,135.8,245.05208333333334,209.06458333333333,31.0,79,56,41.48148148148148,0.7691114163198851,0.7498705537418304,0.7460632057893768,0.44840710704146264,859.9583333333334,197.83333333333334,664.2083333333334,559.1145833333334,664.2083333333334,559.1145833333334,20638,4.684917824389358,42,0,0,0,0,0,0,41.39223777272727,2.1684912575757576,0.5971786262645673,4.542700138411767,3.314896288302642,9,14,17,0,Cluster 1
52,la font d'en fargues,9490,9440,9407,9400,9383,49.12,42.92,40.82,44.18,52.58,67.62,76.14,68.86,48.02,69.0,65.08,62.62,65.06,48.66,38.82,30.8,19.98,11.3,15.7,51.43125,46.735416666666666,7.0,28,3,9.67741935483871,0.0,0.4476980035337537,0.42447317360659964,0.0,319.7583333333333,66.45833333333333,234.79166666666666,214.75,234.79166666666666,214.75,7632,8.13385910689545,46,0,0,0,0,0,0,41.424023999999996,2.1656810322580644,4.128425128200289,6.028307767677974,6.589287505525326,0,0,0,3,Cluster 4
53,la Font de la Guatlla,10313,10309,10366,10302,10401,37.4,37.86,50.18,74.06,90.96,87.3,80.7,76.6,37.04,70.48,64.36,64.72,62.24,46.68,39.36,37.78,24.78,11.44,20.1,56.9625,50.72708333333333,29.0,5,2,28.57142857142857,0.0,0.5214591350692346,0.35399419880565,0.0,365.80833333333334,75.22222222222223,247.64583333333334,266.03125,247.64583333333334,266.03125,8743,8.405922507451207,52,0,0,0,0,0,0,41.369954285714286,2.1442837142857143,2.87309784099796,3.0006245228858286,0.6460442812138135,0,1,0,1,Cluster 2
54,la guineueta,15117,15056,15099,15043,15231,61.82,60.46,61.46,68.38,83.32,109.38,116.98,114.6,65.64,102.22,84.74,88.2,108.02,96.98,89.84,76.56,44.46,16.18,13.1,84.21875,73.16875,54.0,16,10,38.46153846153847,0.07860681252590085,0.4884243369720402,0.4642549317883233,0.0,588.6583333333333,117.26388888888889,419.0104166666667,404.7604166666667,419.0104166666667,404.7604166666667,14311,9.395968747948263,105,0,0,0,0,0,0,41.43872034482759,2.1687850689655175,5.745016852376114,7.432755823079145,8.240648636056058,0,0,0,1,Cluster 2
55,la marina de port,30271,30047,30232,30385,30584,147.84,146.82,162.56,173.72,200.0,236.62,252.54,244.16,145.72,237.46,199.62,156.22,147.7,126.26,123.16,112.7,60.0,20.76,20.8,163.43541666666667,152.22916666666666,126.0,44,10,18.51851851851852,0.0,0.5956678511073554,0.6030646942156912,0.0,1065.0833333333333,206.43055555555554,789.1666666666666,697.0104166666666,789.1666666666666,697.0104166666666,25874,8.459979074025634,249,0,0,0,0,0,0,41.36127333333334,2.140595777777778,3.776817010814102,3.4406272041253314,0.9283331558175909,0,0,0,2,Cluster 3
56,la Marina del Prat Vermell,1172,1144,1125,1143,1149,5.54,4.76,7.0,8.32,9.64,7.9,7.66,9.38,4.06,9.26,7.74,5.7,4.98,3.84,4.0,5.78,3.1,0.84,0.9,5.85625,6.0875,75.0,95,25,20.833333333333336,0.0,2.2614923322626144,1.5899656849063737,0.968537006691326,68.325,12.75,37.6875,57.28125,37.6875,57.28125,1670,14.53437771975631,203,0,0,0,0,0,0,41.34087593129771,2.14204948091603,5.635445636966377,5.448613674034733,2.8552001842372072,0,0,0,3,Cluster 4
57,la Maternitat i Sant Ramon,23667,23564,23817,23848,23948,90.86,91.4,113.56,160.5,171.48,174.42,164.12,147.02,92.38,151.86,157.46,167.88,168.46,139.06,105.72,92.46,58.36,25.66,35.4,131.95625,115.63541666666667,47.0,53,12,18.461538461538463,0.6549646004904119,0.8413601135743399,0.8973524441684649,0.8320900701094378,581.2833333333333,151.59722222222223,459.2083333333333,381.09375,459.2083333333333,381.09375,14094,5.885251377985635,387,0,0,0,0,0,0,41.37537133913044,2.111945191304348,5.034519801450804,1.149693155341643,3.3392707078556376,0,0,2,2,Cluster 3
