Unnamed: 0,Code,Transport,Longitude,Latitude,Station,District.Name,Neighborhood.Name
253,K001,Underground,2.150171,41.374826,METRO (L3) - ESPANYA (Av. del Paral.lel)-,Sants-Montjuïc,el Poble-sec
254,K001,Underground,2.169492,41.38757,METRO (L1) - CATALUNYA (Pl. de Catalunya)-,Eixample,la Dreta de l'Eixample
255,K001,Underground,2.210131,41.444246,METRO (L9) - CAN PEIXAUET-,Sant Martí,la Trinitat Vella
256,K001,Underground,2.173877,41.404117,METRO (L5) - SAGRADA FAMÍLIA-,Eixample,la Sagrada Família
257,K001,Underground,2.165196,41.441671,METRO (L3) - CANYELLES (Federico García Lorca)-,Nou Barris,Canyelles
258,K011,Tram,2.188338,41.390398,TRAMVIA (T4) - WELLINGTON-,Sant Martí,la Vila Olímpica del Poblenou
259,K011,Tram,2.129309,41.415431,TRAMVIA BLAU - AV. TIBIDABO (Parc Municipal Font Racó - Tornada)-,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova
260,K011,Tram,2.204513,41.416358,"TRAMVIA (T5, T6) - SANT MARTÍ DE PROVENÇALS-",Sant Martí,Provençals del Poblenou
261,K010,Cableway,2.187919,41.373235,Transbordador del Port - Sant Sebastià-,Ciutat Vella,la Barceloneta
262,K010,Cableway,2.1725,41.371019,Transbordador del Port - Miramar-,Sants-Montjuïc,el Poble-sec
263,K009,Funicular,2.119395,41.42128,Funicular TIBIDABO - superior-,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes"
264,K008,Maritime station,2.183611,41.374828,Terminal Marítima Maremàgnum-,Ciutat Vella,el Barri Gòtic
265,K008,Maritime station,2.178681,41.37385,Estació Marítima DRASSANES-,Ciutat Vella,el Raval
267,K001,Underground,2.181742,41.415335,METRO (L5) - CAMP DE L'ARPA (C. de la Indústria)-,Sant Martí,el Camp de l'Arpa del Clot
268,K001,Underground,2.170075,41.385531,METRO (L3) - CATALUNYA (la Rambla)-,Eixample,la Dreta de l'Eixample
269,K001,Underground,2.146075,41.384981,METRO (L5) - ENTENÇA (C. de Rocafort)-,Eixample,la Nova Esquerra de l'Eixample
270,K001,Underground,2.163315,41.406523,METRO (L4) - JOANIC-,Gràcia,el Camp d'en Grassot i Gràcia Nova
271,K001,Underground,2.165242,41.392217,METRO (L3) - PASSEIG DE GRÀCIA (C. d'Aragó)-,Eixample,la Dreta de l'Eixample
272,K001,Underground,2.172794,41.381722,METRO (L3) - LICEU (La Rambla)-,Ciutat Vella,el Raval
273,K001,Underground,2.170718,41.375079,METRO (L3) - PARAL·LEL-,Ciutat Vella,el Raval
274,K004,Airport train,2.115466,41.354367,Tren AEROPORT - BELLVITGE-,Gràcia,Sants - Badal
275,K003,RENFE,2.060314,41.368661,RENFE - ST. JOAN DESPÍ-,Ciutat Vella,Centre
276,K003,RENFE,2.185163,41.484284,RENFE - MONTCADA I REIXAC-MANRESA-,Nou Barris,Torre Baró
277,K011,Tram,2.136412,41.390505,"TRAMVIA (T1,T2,T3) - L'ILLA-",Les Corts,les Corts
278,K001,Underground,2.174157,41.387564,METRO (L4) - URQUINAONA (Via Laietana)-,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
279,K001,Underground,2.196179,41.415594,METRO (L2) - BAC DE RODA (Rambla Guipúscoa)-,Sant Martí,Sant Martí de Provençals
280,K001,Underground,2.145606,41.384454,METRO (L5) - ENTENÇA-,Eixample,la Nova Esquerra de l'Eixample
282,K001,Underground,2.126304,41.388204,METRO (L3) - MARIA CRISTINA-,Les Corts,Pedralbes
284,K001,Underground,2.125579,41.375701,METRO (L5) - BADAL (C. d'Arizala)-,Sants-Montjuïc,Sants - Badal
285,K001,Underground,2.173953,41.437178,METRO (L4) - LLUCMAJOR (Pl. del Jardins d'Alfàbia)-,Nou Barris,Porta
286,K001,Underground,2.13548,41.375444,METRO (L5) - PLAÇA DE SANTS-,Sants-Montjuïc,Sants
287,K001,Underground,2.166728,41.398769,METRO (L5) - VERDAGUER-,Eixample,la Dreta de l'Eixample
288,K001,Underground,2.144952,41.384126,METRO (L5) - ENTENÇA (C. d'Entença)-,Eixample,la Nova Esquerra de l'Eixample
289,K001,Underground,2.150142,41.420977,METRO (L5) - EL COLL / LA TEIXONERA (C. de Batet)-,Horta-Guinardó,el Carmel
290,K001,Underground,2.174004,41.389109,METRO (L1) - URQUINAONA (C. Jonqueres)-,Eixample,la Dreta de l'Eixample
292,K001,Underground,2.130847,41.38397,METRO (L3) - LES CORTS (C. de Joan Güell)-,Les Corts,les Corts
293,K001,Underground,2.234241,41.440358,METRO (L10) - GORG-,Sarrià-Sant Gervasi,Gorg
294,K001,Underground,2.150391,41.406599,METRO (L3) - LESSEPS-,Gràcia,la Vila de Gràcia
295,K001,Underground,2.168228,41.375231,METRO (L2) - PARAL·LEL (Av. de Paral.lel)-,Ciutat Vella,el Raval
296,K001,Underground,2.180037,41.400087,METRO (L2) - MONUMENTAL-,Eixample,el Fort Pienc
297,K001,Underground,2.163172,41.380689,METRO (L2) - SANT ANTONI (C. de Villarroel)-,Eixample,Sant Antoni
298,K001,Underground,2.190665,41.443807,METRO (L1) - TORRAS I BAGES-,Sant Andreu,Sant Andreu
302,K001,Underground,2.170083,41.374728,METRO (L3) - PARAL·LEL (Av. de Paral.lel)-,Sants-Montjuïc,el Poble-sec
303,K001,Underground,2.210317,41.420291,METRO (L4) - BESÒS-,Sant Martí,el Besòs i el Maresme
304,K001,Underground,2.145257,41.43056,METRO (L3) - MONTBAU (Ronda de Dalt)-,Horta-Guinardó,la Vall d'Hebron
305,K001,Underground,2.145191,41.430847,METRO (L3) - MONTBAU-,Horta-Guinardó,la Vall d'Hebron
307,K002,Railway (FGC),2.025086,41.369224,FGC - SANTA COLOMA DE CERVELLÓ-,Ciutat Vella,Pla de les Vinyes
308,K001,Underground,2.142019,41.381157,METRO (L3) - SANTS ESTACIÓ (Av. de Josep Tarradellas)-,Sants-Montjuïc,Sants
309,K002,Railway (FGC),2.125369,41.357005,FGC - EUROPA / FIRA-,Sants-Montjuïc,Sants - Badal
310,K011,Tram,2.221856,41.422595,TRAMVIA (T5) - LA CATALANA-,Sant Martí,El Besòs
311,K011,Tram,2.186968,41.397311,TRAMVIA (T4) - AUDITORI-TEATRE NACIONAL-,Sant Martí,el Parc i la Llacuna del Poblenou
